artwork_type_title,style_title,id,image_id,title,search_term,file_name
Painting,Impressionism,44018,f7b2db45-f393-653c-07ef-84319b0cdb92,Croquet Scene,Impressionism,f7b2db45-f393-653c-07ef-84319b0cdb92.jpg
Painting,Impressionism,60239,1f1931d1-06f4-c005-a75d-1a0b12470d92,The Essex Canal,Impressionism,1f1931d1-06f4-c005-a75d-1a0b12470d92.jpg
Painting,Impressionism,39691,e420a236-8068-a82f-04b2-36fe3d2c7a3d,Nantasket Beach,Impressionism,e420a236-8068-a82f-04b2-36fe3d2c7a3d.jpg
Painting,Impressionism,65215,214ac375-94de-4c46-b518-70a8ba44485b,Towering Trees,Impressionism,214ac375-94de-4c46-b518-70a8ba44485b.jpg
Painting,Impressionism,145906,15339910-f650-d1ff-2044-1fda9d447574,Fountain of Neptune,Impressionism,15339910-f650-d1ff-2044-1fda9d447574.jpg
Painting,Impressionism,121909,ac116018-617a-5655-29b2-331770a2c8b5,White Heron in a Pool in a Garden,Impressionism,ac116018-617a-5655-29b2-331770a2c8b5.jpg
Painting,Impressionism,70551,79787b3b-8e3a-89ed-4220-dfecf52c25e1,Building The Cofferdam,Impressionism,79787b3b-8e3a-89ed-4220-dfecf52c25e1.jpg
Painting,Impressionism,5349,f72dbf42-8655-8788-d899-9e87a0466d28,New England Headlands,Impressionism,f72dbf42-8655-8788-d899-9e87a0466d28.jpg
Painting,Impressionism,40549,a9771181-0ff7-d85a-9ec5-d43f97426531,The Valley of Arconville,Impressionism,a9771181-0ff7-d85a-9ec5-d43f97426531.jpg
Painting,Impressionism,46321,75d767b8-38ca-42af-ef70-f5960a7e86e7,On the Seine,Impressionism,75d767b8-38ca-42af-ef70-f5960a7e86e7.jpg
Painting,Impressionism,40773,16b1279a-dd39-b765-8708-9a8636f865ef,Centre Bridge,Impressionism,16b1279a-dd39-b765-8708-9a8636f865ef.jpg
Painting,Impressionism,81574,f0b3ff64-d68e-3fd2-ffc9-5470eb9fea6e,Grey and Silver: Old Battersea Reach,Impressionism,f0b3ff64-d68e-3fd2-ffc9-5470eb9fea6e.jpg
Painting,Impressionism,111478,f9aacbc6-191c-3725-85bf-198612a51d25,Portrait of Dr. William McNeill Whistler,Impressionism,f9aacbc6-191c-3725-85bf-198612a51d25.jpg
Painting,Impressionism,65709,e01a4f76-d089-8e22-8431-3488db37a293,The Artist in His Studio,Impressionism,e01a4f76-d089-8e22-8431-3488db37a293.jpg
Painting,Impressionism,81572,37f802ca-7831-14d6-82c6-060d825baabd,"Trouville (Grey and Green, the Silver Sea)",Impressionism,37f802ca-7831-14d6-82c6-060d825baabd.jpg
Painting,Impressionism,56905,50034c7f-ce51-00f1-430e-a6f7efc233fc,Nocturne: Blue and Gold—Southampton Water,Impressionism,50034c7f-ce51-00f1-430e-a6f7efc233fc.jpg
Painting,Impressionism,78000,5f1a9251-bcb0-681a-f8f0-dc3b51854cd0,To the Dance (Apaches),Impressionism,5f1a9251-bcb0-681a-f8f0-dc3b51854cd0.jpg
Painting,Impressionism,16545,a4717de1-d95c-fd87-a9c7-688da84abcf9,Brooklyn Bridge,Impressionism,a4717de1-d95c-fd87-a9c7-688da84abcf9.jpg
